,N_Dim,Key,Ward_dist,Cen_dist,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,8,Avg-Silh,7.42816732984906,0.33617872558534145,0.14851674437522888,51.72593006341688,2.312607669793472,0.8052383559285062,0.6236034942657925,0.6759342979099964
1,8,FMI,7.3655127607864035,0.3372850473970175,0.13603174686431885,51.20863892852865,2.290802951867313,0.847207549282128,0.7361361077759128,0.7734073923385612
2,16,Avg-Silh,4.455465298705336,0.27249243669211864,0.1256733536720276,38.24027747404912,2.7558853696176335,0.821179629636811,0.6336369464769049,0.6845434274823678
3,16,FMI,4.253405891112188,0.25576317124068737,0.10252793878316879,34.52972914581642,2.826028359715238,0.8388919759252216,0.6978492804547355,0.7405867488813164
4,32,Avg-Silh,3.817589840580329,0.2555319666862488,0.13850268721580505,38.80920529609374,2.795164659807203,0.8086514379632533,0.6327369188299005,0.6840314346942059
5,32,FMI,3.432479371092248,0.23064818233251572,0.09126465767621994,33.84799490316669,2.9706543995764116,0.8609718341500112,0.7827092584387478,0.8134979876332747
6,48,Avg-Silh,2.480144137357562,0.21061865612864494,0.09732192754745483,23.411022714765615,3.214710877937492,0.7995898230034643,0.611163570640861,0.6651610506215221
7,48,FMI,2.593634069021433,0.20506218634545803,0.07862596213817596,24.711506978132576,3.221691688812566,0.8559453219519445,0.7226899807372731,0.7618407909638271
8,64,Avg-Silh,3.103958340102733,0.23183923959732056,0.11712200939655304,31.350112009000295,2.9852439940953235,0.7998217456120995,0.609208265415949,0.6632959811837449
9,64,FMI,2.830533842849338,0.21086931135505438,0.08174869418144226,27.64406710181742,3.141166223978521,0.8374693695660835,0.7234672738363668,0.7624497272033237
