Stat,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
percentile-25,696.9984848484848,0.22789313295325253,0.03864051607042076,0.06503404060090696,0.0570856185984584,13329.371212121212,13664.226515151515,-334.85530303030305
percentile-75,818.2128787878788,0.2744717600495266,0.046538174791102394,0.08005099145936269,0.07026720659909143,12778.625,12958.742424242424,-180.11742424242425
skew,1385.715909090909,0.31854303147853663,0.054010697766359646,0.0672625893733392,0.059041795457156536,11440.988636363636,10416.074242424242,1024.914393939394
median,724.7371212121212,0.3485711314592034,0.05910212489639594,0.07303122759029464,0.06410539412091566,12457.778787878788,13441.226515151515,-983.4477272727273
kurtosis,1358.2189393939393,0.43540049715202006,0.07382451453999243,0.06988601698847571,0.06134458929980542,10287.468181818182,10072.890151515152,214.5780303030303
max,1451.0924242424242,0.5929400425947617,0.10053619847061682,0.11424858579139228,0.10028519116509761,8972.098484848484,8796.550757575758,175.5477272727273
norm-2,1469.9128787878788,0.6347166761002829,0.10761965314702124,0.12775876399228384,0.11214416337176296,8731.487878787879,8206.244696969698,525.2431818181818
std,1402.2136363636364,0.6763623253171868,0.11468089872724226,0.11560983938620803,0.10148007315015373,8439.502272727274,8653.086363636363,-213.58409090909092
norm-1,1451.9219696969697,0.7096588762674783,0.12032650943701403,0.1188875174098244,0.10435715530306706,8326.050757575758,8282.48106060606,43.56969696969697
sum,1449.3818181818183,0.7096588762674783,0.12032650943701403,0.11000064297374948,0.09655642940778746,8326.60909090909,9370.478787878788,-1043.8696969696969
mean,1449.3848484848486,0.7608462175360972,0.12900560062883992,0.14043201557980473,0.12326849764105999,7871.356060606061,9193.827272727272,-1322.4712121212121
